Jahr;Monat;Woche;InfluenzaVerdachtsfälle;Inzidenz pro 100 000 Einwohner;Grippeverbreitung;Grippeverbreitung Label
2017;6;26;2;1.169139396;;
2017;7;27;1;0.615384615;;
2017;7;28;1;0.649131462;;
2017;7;29;0;;;
2017;7;30;0;;;
2017;8;31;8;5.815728638;;
2017;8;32;3;1.809921992;;
2017;8;33;9;5.145856442;;
2017;8;34;5;2.941660979;;
2017;8;35;5;2.932688924;;
2017;9;36;2;1.266103251;;
2017;9;37;7;4.098096727;;
2017;9;38;7;4.133597884;;
2017;9;39;14;8.330259071;;
2017;10;40;15;8.920076118;;
2017;10;41;17;9.865195012;1;sporadisch
2017;10;42;20;12.51775957;1;sporadisch
2017;10;43;29;17.18712033;0;keine
2017;11;44;28;17.40676501;0;keine
2017;11;45;26;15.55396028;1;sporadisch
2017;11;46;28;17.10111646;1;sporadisch
2017;11;47;28;17.2309813;1;sporadisch
2017;11;48;47;29.08289864;1;sporadisch
2017;12;49;57;35.11365736;1;sporadisch
2017;12;50;103;60.89917934;2;verbreitet
2017;12;51;191;111.3709118;3;weit verbreitet
2017;12;52;238;170.8334231;3;weit verbreitet
2018;1;1;343;287.0533099;3;weit verbreitet
2018;1;2;572;344.9565186;3;weit verbreitet
2018;1;3;454;288.3583265;3;weit verbreitet
2018;1;4;551;344.3491738;3;weit verbreitet
2018;2;5;493;292.9867413;3;weit verbreitet
2018;2;6;414;259.6376362;3;weit verbreitet
2018;2;7;362;255.6443013;3;weit verbreitet
2018;2;8;400;245.4635272;3;weit verbreitet
2018;3;9;398;240.9142636;3;weit verbreitet
2018;3;10;327;191.9216819;3;weit verbreitet
2018;3;11;297;179.9640072;3;weit verbreitet
2018;3;12;201;119.4892281;2;verbreitet
2018;3;13;139;91.40888047;2;verbreitet
2018;4;14;49;41.39702279;2;verbreitet
2018;4;15;52;31.82627749;1;sporadisch
2018;4;16;27;14.32208784;1;sporadisch
2018;4;17;19;10.4529425;;
2018;5;18;11;6.857385092;;
2018;5;19;10;7.321823427;;
2018;5;20;11;6.43030427;;
2018;5;21;2;1.355187998;;
2018;5;22;2;1.215096357;;
2018;6;23;0;;;
2018;6;24;2;1.123046601;;
2018;6;25;6;3.77560331;;
2018;6;26;9;5.416531253;;
2018;7;27;0;;;
2018;7;28;1;0.611370264;;
2018;7;29;3;1.792061169;;
2018;7;30;4;2.524965597;;
2018;8;31;2;1.303160817;;
2018;8;32;4;2.483469407;;
2018;8;33;2;1.284307052;;
2018;8;34;4;2.435564107;;
2018;8;35;0;;;
2018;9;36;5;3.201434243;;
2018;9;37;4;2.394492667;;
2018;9;38;12;7.115665137;;
2018;9;39;10;5.957806812;;
2018;10;40;18;11.46000458;0;keine
2018;10;41;11;6.715383723;0;keine
2018;10;42;22;13.8288243;0;keine
2018;10;43;14;8.691711212;0;keine
2018;11;44;28;17.86774043;1;sporadisch
2018;11;45;26;15.61993103;1;sporadisch
2018;11;46;26;15.79558088;1;sporadisch
2018;11;47;56;33.877593;1;sporadisch
2018;11;48;35;21.77131412;1;sporadisch
2018;12;49;58;33.94909976;1;sporadisch
2018;12;50;41;24.8168997;1;sporadisch
2018;12;51;80;47.56808182;1;sporadisch
2018;12;52;35;30.89198397;1;sporadisch
2019;1;1;63;65.33981892;1;sporadisch
2019;1;2;197;116.7338232;2;verbreitet
2019;1;3;242;138.7710164;3;weit verbreitet
2019;1;4;359;204.819827;3;weit verbreitet
2019;1;5;409;240.7411767;3;weit verbreitet
2019;2;6;537;304.7344497;3;weit verbreitet
2019;2;7;555;298.9609088;3;weit verbreitet
2019;2;8;436;239.142597;3;weit verbreitet
2019;2;9;318;184.8375116;3;weit verbreitet
2019;3;10;201;130.3721769;2;verbreitet
2019;3;11;168;103.2600679;2;verbreitet
2019;3;12;129;75.64473947;2;verbreitet
2019;3;13;83;43.79161522;1;sporadisch
2019;4;14;40;21.41499585;1;sporadisch
2019;4;15;44;22.40439941;1;sporadisch
2019;4;16;12;8.183752523;1;sporadisch
2019;4;17;6;4.789195575;;
2019;5;18;7;4.030377531;;
2019;5;19;8;4.076723945;;
2019;5;20;6;3.225286244;;
2019;5;21;3;1.615552384;;
2019;5;22;3;2.05251707;;
2019;6;23;5;2.844869278;;
2019;6;24;3;1.886756854;;
2019;6;25;2;1.114137852;;
2019;6;26;1;0.556529482;;
2019;7;27;3;1.695078058;;
2019;7;28;3;1.607079722;;
2019;7;29;1;0.533367469;;
2019;7;30;4;2.311457316;;
2019;8;31;2;1.070239841;;
2019;8;32;0;;;
2019;8;33;0;;;
2019;8;34;4;2.209847079;;
2019;8;35;2;1.099813582;;
2019;9;36;2;1.153668666;;
2019;9;37;4;2.39469336;;
2019;9;38;3;1.735558705;;
2019;9;39;5;2.630070118;;
2019;10;40;15;8.475390292;1;sporadisch
2019;10;41;16;9.366420213;1;sporadisch
2019;10;42;7;4.069317924;0;keine
2019;10;43;13;7.038898033;0;keine
2019;10;44;23;13.33990662;0;keine
2019;11;45;33;18.11285958;1;sporadisch
2019;11;46;40;21.29823384;1;sporadisch
2019;11;47;39;20.49374153;1;sporadisch
2019;11;48;41;22.87703871;1;sporadisch
2019;12;49;43;24.33489341;1;sporadisch
2019;12;50;56;31.91319611;1;sporadisch
2019;12;51;79;42.67502161;1;sporadisch
2019;12;52;47;34.59545401;1;sporadisch
2020;1;1;53;58.58230814;1;sporadisch
2020;1;2;155;88.75146726;2;verbreitet
2020;1;3;204;113.8767786;2;verbreitet
2020;1;4;363;201.9235583;3;weit verbreitet
2020;1;5;526;285.9130737;3;weit verbreitet
2020;2;6;567;327.4617384;3;weit verbreitet
2020;2;7;461;251.9690204;3;weit verbreitet
2020;2;8;371;211.9551866;3;weit verbreitet
2020;2;9;298;192.0338186;3;weit verbreitet
2020;3;10;260;173.4131034;3;weit verbreitet